name,bounding_box,landmarks
Unknown,"(204, 172, 345, 350)","(242, 308); (272, 247); (301, 236); (236, 270); (314, 314)"
Unknown,"(205, 169, 346, 349)","(244, 309); (274, 249); (302, 237); (236, 270); (313, 313)"
Unknown,"(202, 158, 357, 354)","(249, 320); (283, 254); (310, 233); (235, 270); (313, 315)"
Unknown,"(207, 166, 354, 353)","(252, 321); (285, 258); (310, 234); (236, 268); (312, 314)"
Unknown,"(210, 167, 356, 352)","(253, 320); (284, 257); (311, 234); (236, 268); (311, 313)"
Unknown,"(209, 166, 354, 349)","(255, 321); (288, 260); (313, 234); (236, 268); (310, 312)"
Unknown,"(209, 165, 355, 349)","(256, 322); (289, 261); (314, 234); (236, 268); (310, 311)"
Unknown,"(207, 163, 359, 355)","(254, 324); (288, 258); (315, 234); (237, 268); (312, 315)"
Unknown,"(210, 165, 355, 349)","(255, 322); (289, 260); (313, 234); (237, 268); (310, 312)"
Unknown,"(208, 163, 360, 355)","(255, 324); (289, 258); (315, 234); (237, 268); (312, 315)"
Unknown,"(216, 174, 355, 346)","(257, 322); (288, 260); (313, 233); (235, 268); (309, 310)"
Unknown,"(214, 167, 355, 351)","(258, 326); (292, 264); (316, 234); (236, 267); (311, 313)"
Unknown,"(215, 163, 363, 350)","(262, 329); (295, 266); (320, 232); (235, 267); (309, 312)"
Unknown,"(232, 164, 375, 350)","(278, 345); (309, 279); (332, 231); (237, 264); (308, 312)"
Unknown,"(246, 167, 388, 349)","(292, 359); (324, 293); (346, 232); (237, 266); (308, 313)"
Unknown,"(262, 169, 400, 346)","(308, 373); (339, 306); (359, 231); (239, 266); (306, 312)"
Unknown,"(273, 170, 412, 346)","(318, 381); (347, 313); (365, 232); (241, 266); (306, 313)"
Unknown,"(279, 174, 416, 347)","(323, 386); (351, 318); (369, 233); (242, 268); (307, 315)"
Unknown,"(277, 172, 417, 350)","(325, 391); (356, 322); (374, 234); (243, 269); (309, 317)"
Unknown,"(290, 173, 430, 349)","(339, 404); (370, 335); (386, 235); (246, 270); (309, 318)"
Unknown,"(314, 176, 451, 349)","(364, 427); (394, 358); (408, 237); (250, 273); (309, 320)"
Unknown,"(341, 180, 480, 356)","(395, 458); (425, 386); (437, 241); (257, 276); (313, 325)"
Unknown,"(365, 188, 501, 354)","(415, 476); (446, 407); (458, 243); (257, 278); (312, 322)"
Unknown,"(374, 183, 526, 375)","(434, 497); (463, 421); (471, 248); (264, 283); (320, 335)"
Unknown,"(385, 187, 524, 359)","(443, 502); (472, 428); (480, 248); (268, 285); (315, 332)"
Unknown,"(389, 188, 528, 357)","(448, 507); (476, 432); (484, 248); (269, 285); (312, 330)"
Unknown,"(392, 188, 532, 358)","(452, 510); (481, 436); (488, 249); (269, 287); (313, 331)"
Unknown,"(392, 188, 531, 358)","(451, 509); (479, 435); (486, 249); (270, 287); (313, 331)"
Unknown,"(381, 188, 518, 354)","(438, 497); (465, 423); (473, 247); (267, 284); (311, 328)"
Unknown,"(354, 186, 491, 349)","(409, 470); (438, 396); (450, 243); (259, 278); (307, 322)"
Unknown,"(298, 179, 436, 348)","(344, 408); (374, 338); (395, 239); (247, 277); (309, 316)"
Unknown,"(250, 176, 394, 350)","(297, 364); (329, 296); (354, 241); (245, 275); (311, 315)"
Unknown,"(211, 173, 357, 347)","(255, 324); (290, 260); (319, 240); (240, 273); (311, 312)"
Unknown,"(193, 171, 345, 352)","(240, 310); (276, 247); (307, 244); (243, 280); (317, 316)"
